Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other,BTC Returns,ETH Returns,XRP Returns
2018-03-02,1.42,0.88,0.92,2.18,1.19,1.9,1.22,-0.05,1.53,2.58,1.15,1.27,4.5176841333848206,7.35640759937756,1.50178902647217
2018-03-05,0.6,1.49,0.76,1.73,0.97,1.04,0.83,1.66,0.64,1.36,1.07,0.46,-0.8803281560752999,-0.25973289294342,-3.30987503380663
2018-03-06,0.58,1.02,0.94,-1.01,1.66,0.55,0.62,-0.93,0.82,0.61,0.66,0.95,-0.7815691506385299,-0.08143569100351,-7.23653436845549
2018-03-07,-0.03,-0.37,0.36,-0.86,0.22,0.88,0.19,0.02,-0.21,1.49,0.49,0.59,2.41061814339316,4.91862924289385,0.15115753768826
2018-03-08,-0.23,0.26,0.21,-0.19,0.04,0.62,0.0,0.38,-0.82,1.31,-0.13,0.11,3.02079071625878,12.550251584580941,14.80506395260377
2018-03-09,0.73,0.96,1.77,1.8,1.83,1.22,1.02,1.1,1.5,1.04,1.44,1.65,-4.15651580377807,-5.10830763117505,-5.40369156990352
2018-03-12,0.16,-0.54,0.13,0.64,0.33,0.92,-0.1,0.93,0.63,0.27,0.25,0.13,-10.53521958132058,-9.40745473855637,-14.0040868824938
2018-03-13,-0.13,-0.18,-0.22,-0.82,-0.67,-0.96,-0.72,-0.16,-0.11,-0.63,-0.39,-0.36,1.13592320538773,4.40469910243055,2.09298902075962
2018-03-14,-0.12,-1.06,-0.81,-0.36,-1.05,-0.19,-0.3,0.53,-0.65,0.31,-0.62,-0.49,-10.27834196380305,-7.2895722348916,-17.193883107844922
2018-03-15,-0.76,-0.67,-0.3,-1.46,-0.69,-0.45,-1.48,0.21,-0.64,-0.87,0.19,-0.43,-3.7052347802326,-11.67112543127686,-8.077258091023989
2018-03-16,0.67,0.87,0.88,1.75,2.68,0.55,1.3,1.05,1.2,0.71,0.77,0.81,3.8972924864818905,5.26695787805311,4.43713010835467
2018-03-19,-0.82,-1.12,-0.47,-1.92,-1.17,-1.13,-1.96,-0.51,-0.71,-1.33,-0.58,-0.85,-9.786476110758919,-13.41643448122119,-11.72456530465424
2018-03-20,-0.15,-0.47,-0.17,0.91,-0.26,0.25,-0.68,-0.61,-0.42,-0.44,-0.25,-0.53,-15.968807377551089,-16.38121068222352,-15.189841599242982
2018-03-21,-0.53,0.62,0.85,3.88,0.38,0.51,0.51,0.28,0.41,0.84,0.42,0.62,11.48380980502292,13.63577415021597,12.228120182370821
2018-03-22,-1.17,-2.21,-2.62,-2.79,-2.3,-1.95,-1.32,-0.15,-1.7,-1.5,-1.98,-1.58,-1.7113772931712599,-4.54583477592962,-6.7617795663085705
2018-03-23,-0.89,-1.98,-1.58,-0.66,-1.42,-1.95,-1.8,-1.61,-1.2,-1.83,-2.05,-1.52,8.45380782246918,8.02292716378414,11.24029976921259
2018-03-26,1.27,1.6,1.62,0.94,1.03,1.55,1.57,1.36,1.75,0.66,1.93,1.37,5.7030488314931205,8.07745383033744,18.523766455409447
2018-03-27,-0.59,-1.26,-1.47,-2.58,-0.7,-2.23,-1.03,0.64,-1.11,-2.98,-1.31,-1.42,-1.31716075750212,-2.65312151359372,12.18656255727894
2018-03-28,0.26,-0.16,-0.42,-1.32,-0.66,-1.5,-0.77,0.4,0.57,-1.21,0.52,-0.36,-5.7055887158723,-5.31778340118092,-6.21812381137513
2018-03-29,0.67,0.98,1.25,2.68,0.76,1.56,0.18,0.47,0.95,0.81,0.33,1.31,9.79831508117721,6.634301285442421,7.65315625740117
2018-04-02,-1.73,-2.38,-2.25,-3.05,-2.08,-2.11,-2.76,-1.39,-2.71,-2.16,-1.49,-1.99,-3.67734449733546,-2.69929624296392,-4.95832179572304
2018-04-03,1.03,0.77,1.25,0.78,0.89,0.42,1.42,0.89,1.17,0.28,0.72,1.02,10.42437824749573,9.26379625188114,11.11630276125654
2018-04-04,1.62,0.9,1.03,0.13,0.68,1.18,1.39,0.16,2.15,2.42,0.98,1.33,7.07526797888733,1.45253420601345,0.45899365359509003
2018-04-05,0.86,1.38,1.37,2.93,1.75,0.72,0.83,0.95,1.05,-0.27,0.47,1.29,0.66395181584866,0.7720591228886601,-0.7699240761373399
2018-04-06,-0.82,-1.95,-1.79,-2.6,-1.69,-1.71,-0.64,-0.8,-1.36,-1.97,-1.46,-1.64,8.58714440383399,3.16719453996483,5.88296973714312
2018-04-09,-0.13,-0.13,-0.25,-0.44,-0.3,0.12,-0.29,0.03,-0.49,0.45,-0.14,-0.37,-5.04738165132535,-5.152776646470221,-7.01422274501502
2018-04-10,0.82,1.5,2.02,4.1,1.27,1.91,1.36,0.04,1.57,2.26,1.15,1.7,6.382797366007701,2.1586227917620797,2.13840686874275
2018-04-11,-0.34,-0.39,-0.02,1.89,-0.16,0.4,0.16,0.18,0.08,0.66,-0.23,0.17,1.5892706095074802,-5.1378130406813405,-4.80243364359775
2018-04-12,0.3,0.33,0.79,-0.12,0.74,1.06,-0.12,-1.12,0.32,1.27,0.85,0.4,-6.25498559652333,-5.07051990905371,-6.79877882314502
2018-04-13,-0.09,0.06,-0.08,0.88,0.16,-0.35,-0.76,0.48,-0.71,-0.38,-0.65,-0.21,-6.41136314432212,-4.36791810956902,-7.248645146247649
2018-04-16,0.65,1.77,0.74,0.17,1.01,0.67,1.25,1.59,1.26,-0.44,0.65,1.09,2.9595163355822,6.31658643730892,6.05942908048759
2018-04-17,0.43,0.65,0.97,0.99,0.96,1.58,1.29,1.04,0.79,1.76,0.02,0.73,-4.73764273117839,-2.73944825975909,-4.45039224833788
2018-04-18,-0.18,-0.02,0.43,3.51,1.23,0.26,0.46,-0.3,0.25,-0.11,-0.16,0.64,-1.51165577159926,0.5109941922873,-1.14365232180021
2018-04-19,-1.05,-1.36,-0.64,-0.24,-1.37,-0.98,-0.34,-0.11,-1.1,-1.06,0.66,-0.45,7.263210586495431,2.90065280401856,1.41729607238829
2018-04-20,-1.26,-0.42,-0.69,-0.88,-0.85,-0.61,-0.97,-0.44,-0.96,-0.44,0.01,-0.78,3.4620410284922096,1.02954765325524,-0.99847197763969
2018-04-23,0.33,-0.72,-0.62,0.27,-0.76,-0.64,-0.32,0.47,0.06,-1.08,0.27,-0.08,-3.05529975651492,-2.62631889627251,-4.50985113641159
2018-04-24,-0.3,-1.74,-1.29,-1.59,-1.25,-0.91,-0.47,0.4,-0.05,-1.01,0.23,-0.93,5.3193393723379705,1.9879628136155898,2.62706847691782
2018-04-25,0.21,0.05,-0.08,0.06,0.3,-0.56,0.78,0.0,0.29,-0.06,-0.4,0.02,1.2364203326180099,-1.7595717322276698,-1.9607991690314401
2018-04-26,0.48,0.53,-0.08,1.29,0.27,0.78,-0.32,1.38,0.68,0.85,0.0,0.15,3.6377885560451197,0.04340863955869,-0.25709769201481003
2018-04-27,0.12,-0.88,-0.38,-1.09,-0.36,-0.51,-1.38,0.43,0.48,0.57,0.04,0.18,0.19930384320942998,1.10274469350664,10.76620059953685
2018-04-30,-0.76,-0.87,-1.1,0.43,-1.42,-0.46,-1.34,-0.35,-1.02,-1.13,-0.63,-0.9,0.52725012049468,-1.4992832218705,-4.59176384909643
2018-05-01,-0.61,0.19,-0.09,-0.25,-0.22,0.77,-0.49,0.24,-0.17,1.14,0.42,0.23,-6.85542954431329,-4.30288389182941,-3.80260375493212
2018-05-02,-0.46,0.21,0.29,1.2,0.18,0.48,0.54,-0.01,0.37,0.78,-0.12,0.35,-7.554152159264859,-7.8486954540275695,-5.59949882051671
2018-05-03,-0.79,-0.7,-0.62,-1.64,-0.74,-0.05,-0.84,0.24,-1.19,-1.35,-0.64,-0.23,-5.72531755818666,-6.4071465917670904,-5.205747923679009
2018-05-04,1.53,1.28,1.29,1.5,1.22,1.15,1.78,0.81,1.5,1.31,1.03,0.96,-0.61160086440503,3.45162434043153,2.8944509797171203
2018-05-07,0.6,0.8,0.92,1.05,-0.1,0.84,0.45,-0.17,-0.17,0.91,0.23,0.71,-5.05003790663348,-5.76554775525515,-6.25281974189682
2018-05-08,0.21,0.05,0.56,1.04,0.07,0.68,-2.16,-1.7,0.42,-0.22,0.47,0.74,8.037783474086389,5.30637712473229,4.33013150661685
2018-05-09,0.26,0.11,0.63,2.53,0.72,0.87,0.15,-0.22,0.03,0.92,0.51,-0.27,-3.8994070153520597,-3.2499278975116903,-3.6184821290838496
2018-05-10,0.23,1.86,0.69,0.43,0.06,0.73,1.46,1.02,0.28,-0.46,0.34,0.05,-0.111573859784,-1.286591672393,-1.41526881312384
